,headline,link,category_name,category_link,time_stamp
0,'Clicking' celebrations & group chats - how England are bonding,https://www.bbc.com/sport/football/articles/c36xy136lgyo,England Women,https://www.bbc.com/sport/football/teams/england-women,2025-07-16 07:51:51.055344
1,Wales goalkeeping great Hennessey retires,https://www.bbc.com/sport/football/articles/c2d0ynn9nj4o,Welsh Football,https://www.bbc.com/sport/football/welsh,2025-07-16 12:26:51.055344
2,Where England-Sweden quarter-final will be decided,https://www.bbc.com/sport/football/articles/cq8zp9dvp2zo,UEFA Women's Euro,https://www.bbc.com/sport/football/womens-european-championship,2025-07-16 11:56:51.055344
3,"How Zurich is championing sustainability at Euro 2025. Video, 00:01:07",https://www.bbc.com/sport/football/videos/c4g89n2n1rqo,Women's Football,https://www.bbc.com/sport/football/womens,2025-07-15 14:51:51.055344
4,Ex-QPR boss Cifuentes appointed Leicester manager,https://www.bbc.com/sport/football/articles/c4g8jpy8jldo,Championship,https://www.bbc.com/sport/football/championship,2025-07-15 18:51:51.055344
5,Last eight and 100% record - so why are Norway fans unimpressed?,https://www.bbc.com/sport/football/articles/c2le2j5ynpxo,Norway,https://www.bbc.com/sport/football/teams/norway,2025-07-16 08:51:51.055344
6,Palace fans protest over Conference League demotion,https://www.bbc.com/sport/football/articles/c89e2ljkjllo,Crystal Palace,https://www.bbc.com/sport/football/teams/crystal-palace,2025-07-15 21:51:51.055344
7,Liverpool join race for Ekitike - Wednesday’s gossip,https://www.bbc.com/sport/football/articles/c3en2g514jqo,Football,https://www.bbc.com/sport/football,2025-07-15 21:51:51.055344
8,Villa sign Baijings on permanent deal from Bayern,https://www.bbc.com/sport/football/articles/c87323w3xd3o,Women's Football,https://www.bbc.com/sport/football/womens,2025-07-16 10:51:51.055344
9,"Women's Euro 2025 - Best goals of the group stage. Video, 00:03:29",https://www.bbc.com/sport/football/videos/cg7549j7dgvo,England Women,https://www.bbc.com/sport/football/teams/england-women,2025-07-15 18:51:51.055344
10,Newcastle bid for Ekitike; Liverpool want Isak,https://www.bbc.com/sport/football/articles/c4g80nryyyro,Newcastle,https://www.bbc.com/sport/football/teams/newcastle-united,2025-07-15 16:51:51.055344
11,"'I want to step up in big games' - Toone. Video, 00:03:13",https://www.bbc.com/sport/football/videos/clyzvvyxpreo,England Women,https://www.bbc.com/sport/football/teams/england-women,2025-07-12 12:51:51.055344
12,"Mata combines art with legends of football. Video, 00:02:26",https://www.bbc.com/sport/football/videos/c75rx95ql12o,Man Utd,https://www.bbc.com/sport/football/teams/manchester-united,2025-07-10 12:51:51.055344
13,"We're our own biggest critics - Russo. Video, 00:01:10",https://www.bbc.com/sport/football/videos/cql0knn026vo,England Women,https://www.bbc.com/sport/football/teams/england-women,2025-07-08 12:51:51.055344
14,"England can win Euros despite opening defeat - Bronze. Video, 00:01:01",https://www.bbc.com/sport/football/videos/c0m8pyv7jdvo,England Women,https://www.bbc.com/sport/football/teams/england-women,2025-07-08 12:51:51.055344
15,How does England's Euros progress compare to 2022?,https://www.bbc.com/sport/football/articles/c5ypr4ny27ro,England Women,https://www.bbc.com/sport/football/teams/england-women,2025-07-15 12:51:51.055344
16,England too strong for Sweden? Brown-Finnis' Euros predictions - quarter-finals,https://www.bbc.com/sport/football/articles/cp3lpqglqgxo,UEFA Women's Euro,https://www.bbc.com/sport/football/womens-european-championship,2025-07-15 12:51:51.055344
17,'Relentless' Sweden deserve more recognition - Williamson,https://www.bbc.com/sport/football/articles/cly8p4vkr30o,UEFA Women's Euro,https://www.bbc.com/sport/football/womens-european-championship,2025-07-15 17:51:51.055344
18,Euro 2025: Striking photos of the group stage,https://www.bbc.com/sport/football/articles/c20pzg45ng2o,Women's Football,https://www.bbc.com/sport/football/womens,2025-07-15 12:51:51.055344
19,How well do you remember Euro 2025's group stage?,https://www.bbc.com/sport/football/articles/cwyq238lx0po,UEFA Women's Euro,https://www.bbc.com/sport/football/womens-european-championship,2025-07-15 12:51:51.055344
20,How to follow Euro 2025 on BBC TV and radio,https://www.bbc.com/sport/football/articles/c335vljlxdyo,UEFA Women's Euro,https://www.bbc.com/sport/football/womens-european-championship,2025-07-14 12:51:51.055344
