titles,title_hrefs,club1_names,club2_names,timings,aggs,home_scores,away_scores,minutes,postponeds
Welsh League Cup,,Newport City,Baglan Dragons,14:30,,,,,False
Irish FAI Cup,,Castlebar Celtic,Longford Town,17:00,,,,,False
Irish FAI Cup,,St Patrick's Athletic,UCC,18:00,,,,,False
Brazilian Serie A,https://www.bbc.com/sport/football/brazilian-league/table,São Paulo,Corinthians,,,2,0,,True
Brazilian Serie A,https://www.bbc.com/sport/football/brazilian-league/table,Internacional,Ceará,15:00,,,,,False
Brazilian Serie A,https://www.bbc.com/sport/football/brazilian-league/table,Cruzeiro,Juventude,20:00,,,,,False
Brazilian Serie A,https://www.bbc.com/sport/football/brazilian-league/table,Vitória,RB Bragantino,20:00,,,,,False
Brazilian Serie A,https://www.bbc.com/sport/football/brazilian-league/table,Palmeiras,Atlético Mineiro,21:30,,,,,False
Brazilian Serie A,https://www.bbc.com/sport/football/brazilian-league/table,Sport Recife,Botafogo,21:30,,,,,False
Brazilian Serie A,https://www.bbc.com/sport/football/brazilian-league/table,Flamengo,Fluminense,23:30,,,,,False
Czech First League,https://www.bbc.com/sport/football/czech-first-league/table,Slovácko,Sigma Olomouc,14:00,,,,,False
Czech First League,https://www.bbc.com/sport/football/czech-first-league/table,Mladá Boleslav,Slovan Liberec,16:00,,,,,False
Czech First League,https://www.bbc.com/sport/football/czech-first-league/table,Slavia Prague,Hradec Králové,19:00,,,,,False
Danish Superligaen,https://www.bbc.com/sport/football/danish-superliga/table,Fredericia,Nordsjælland,13:00,,,,,False
Danish Superligaen,https://www.bbc.com/sport/football/danish-superliga/table,Vejle,Randers,13:00,,,,,False
Danish Superligaen,https://www.bbc.com/sport/football/danish-superliga/table,SønderjyskE,AGF,15:00,,,,,False
Danish Superligaen,https://www.bbc.com/sport/football/danish-superliga/table,Midtjylland,OB,17:00,,,,,False
Danish Superligaen,https://www.bbc.com/sport/football/danish-superliga/table,Brøndby,Silkeborg,19:00,,,,,False
Finnish Veikkausliiga,https://www.bbc.com/sport/football/finnish-veikkausliiga/table,SJK,Gnistan,14:00,,,,,False
Finnish Veikkausliiga,https://www.bbc.com/sport/football/finnish-veikkausliiga/table,HJK,Oulu,16:30,,,,,False
Finnish Veikkausliiga,https://www.bbc.com/sport/football/finnish-veikkausliiga/table,Jaro,Ilves,16:30,,,,,False
Japanese J1 League,https://www.bbc.com/sport/football/japanese-j1-league/table,Kashima Antlers,Kashiwa Reysol,,,3,2,,True
Japanese J1 League,https://www.bbc.com/sport/football/japanese-j1-league/table,Tokyo Verdy,Machida Zelvia,,,0,1,,True
Japanese J1 League,https://www.bbc.com/sport/football/japanese-j1-league/table,Shimizu S-Pulse,Yokohama,,,,,In Play,False
Japanese J1 League,https://www.bbc.com/sport/football/japanese-j1-league/table,Albirex Niigata,Sanfrecce Hiroshima,,,,,In Play,False
Japanese J1 League,https://www.bbc.com/sport/football/japanese-j1-league/table,Fagiano Okayama,Vissel Kobe,,,,,In Play,False
Japanese J1 League,https://www.bbc.com/sport/football/japanese-j1-league/table,Gamba Osaka,Kawasaki Frontale,,,,,In Play,False
Japanese J1 League,https://www.bbc.com/sport/football/japanese-j1-league/table,Yokohama F. Marinos,Nagoya Grampus,,,,,In Play,False
Liga MX,https://www.bbc.com/sport/football/mexican-liga-mx/table,León,Guadalajara,,,1,0,,True
Liga MX,https://www.bbc.com/sport/football/mexican-liga-mx/table,Tigres UANL,Juárez,,,1,0,,True
Liga MX,https://www.bbc.com/sport/football/mexican-liga-mx/table,Atlas,Cruz Azul,,,3,3,,True
Liga MX,https://www.bbc.com/sport/football/mexican-liga-mx/table,Pumas UNAM,Pachuca,19:00,,,,,False
Norwegian Eliteserien,https://www.bbc.com/sport/football/norwegian-tippeligaen/table,Vålerenga,Haugesund,13:30,,,,,False
Norwegian Eliteserien,https://www.bbc.com/sport/football/norwegian-tippeligaen/table,Sandefjord,Kristiansund,16:00,,,,,False
Norwegian Eliteserien,https://www.bbc.com/sport/football/norwegian-tippeligaen/table,Tromsø,Bryne,16:00,,,,,False
Norwegian Eliteserien,https://www.bbc.com/sport/football/norwegian-tippeligaen/table,HamKam,Fredrikstad,18:15,,,,,False
Polish Ekstraklasa,https://www.bbc.com/sport/football/polish-ekstraklasa/table,Górnik Zabrze,Lechia Gdańsk,13:45,,,,,False
Polish Ekstraklasa,https://www.bbc.com/sport/football/polish-ekstraklasa/table,Motor Lublin,Arka Gdynia,16:30,,,,,False
Polish Ekstraklasa,https://www.bbc.com/sport/football/polish-ekstraklasa/table,Legia Warszawa,Piast Gliwice,,,P,P,,True
Polish Ekstraklasa,https://www.bbc.com/sport/football/polish-ekstraklasa/table,Radomiak Radom,Pogoń Szczecin,19:15,,,,,False
Serbian Super Liga,https://www.bbc.com/sport/football/serbian-super-liga/table,Mladost Lučani,IMT Novi Beograd,19:00,,,,,False
Serbian Super Liga,https://www.bbc.com/sport/football/serbian-super-liga/table,TSC,Radnički Niš,19:00,,,,,False
Serbian Super Liga,https://www.bbc.com/sport/football/serbian-super-liga/table,Vojvodina,Radnik Surdulica,19:00,,,,,False
Serbian Super Liga,https://www.bbc.com/sport/football/serbian-super-liga/table,Železničar Pančevo,Partizan,19:00,,,,,False
Swedish Allsvenskan,https://www.bbc.com/sport/football/swedish-allsvenskan/table,Mjällby,AIK,13:00,,,,,False
Swedish Allsvenskan,https://www.bbc.com/sport/football/swedish-allsvenskan/table,Sirius,IFK Göteborg,13:00,,,,,False
Swedish Allsvenskan,https://www.bbc.com/sport/football/swedish-allsvenskan/table,Halmstad,Häcken,15:30,,,,,False
Swedish Allsvenskan,https://www.bbc.com/sport/football/swedish-allsvenskan/table,Hammarby,Brommapojkarna,15:30,,,,,False
US Major League Soccer,https://www.bbc.com/sport/football/us-major-league/table,Atlanta United,Charlotte,,,2,3,,True
US Major League Soccer,https://www.bbc.com/sport/football/us-major-league/table,Montréal,Chicago Fire,,,0,2,,True
US Major League Soccer,https://www.bbc.com/sport/football/us-major-league/table,New England,Orlando City,,,1,2,,True
US Major League Soccer,https://www.bbc.com/sport/football/us-major-league/table,New York RB,Inter Miami,,,1,5,,True
US Major League Soccer,https://www.bbc.com/sport/football/us-major-league/table,Columbus Crew,DC United,,,2,1,,True
US Major League Soccer,https://www.bbc.com/sport/football/us-major-league/table,Dallas,St. Louis City,,,3,0,,True
US Major League Soccer,https://www.bbc.com/sport/football/us-major-league/table,Houston Dynamo,Philadelphia Union,,,1,1,,True
US Major League Soccer,https://www.bbc.com/sport/football/us-major-league/table,Seattle Sounders,SJ Earthquakes,,,3,2,,True
US Major League Soccer,https://www.bbc.com/sport/football/us-major-league/table,Sporting KC,New York City,,,1,1,,True
US Major League Soccer,https://www.bbc.com/sport/football/us-major-league/table,Nashville SC,Toronto,,,1,0,,True
US Major League Soccer,https://www.bbc.com/sport/football/us-major-league/table,Real Salt Lake,Cincinnati,,,0,1,,True
US Major League Soccer,https://www.bbc.com/sport/football/us-major-league/table,Los Angeles,LA Galaxy,,,3,3,,True
US Major League Soccer,https://www.bbc.com/sport/football/us-major-league/table,Portland Timbers,Minnesota United,,,1,1,,True
US Major League Soccer,https://www.bbc.com/sport/football/us-major-league/table,San Diego,Vancouver Whitecaps,,,1,1,,True
